strategy,step,price,action,reward,cumulative_reward,regime
AlwaysLong,340,169.1942,0,-0.4257,52.4551,1
AlwaysLong,341,168.4738,0,0.1000,52.5551,1
AlwaysLong,342,168.6423,0,0.0955,52.6506,1
AlwaysLong,343,168.8033,0,-0.2657,52.3849,1
AlwaysLong,344,168.3548,0,-0.2360,52.1488,1
AlwaysLong,345,167.9574,0,0.1101,52.2589,1
AlwaysLong,346,168.1423,0,-0.6949,51.5641,1
AlwaysLong,347,166.9739,0,-0.6453,50.9188,1
AlwaysLong,348,165.8965,0,-0.2848,50.6340,1
AlwaysLong,349,165.4241,0,-0.0271,50.6069,1
AlwaysLong,350,165.3793,0,0.2279,50.8349,1
AlwaysLong,351,165.7562,0,0.7780,51.6129,1
AlwaysLong,352,167.0459,0,0.4376,52.0505,1
AlwaysLong,353,167.7769,0,-0.0713,51.9792,1
AlwaysLong,354,167.6573,0,-0.0005,51.9787,1
AlwaysLong,355,167.6564,0,-0.4698,51.5089,1
AlwaysLong,356,166.8687,0,0.0233,51.5322,1
AlwaysLong,357,166.9076,0,-0.1073,51.4249,1
AlwaysLong,358,166.7285,0,0.1913,51.6162,1
AlwaysLong,359,167.0474,0,-0.3693,51.2468,1
AlwaysLong,360,166.4305,0,0.2951,51.5419,1
AlwaysLong,361,166.9216,0,0.7652,52.3071,1
AlwaysLong,362,168.1989,0,-0.0593,52.2478,1
AlwaysLong,363,168.0991,0,0.1866,52.4344,1
AlwaysLong,364,168.4127,0,0.3139,52.7483,1
AlwaysLong,365,168.9414,0,-0.2195,52.5288,1
AlwaysLong,366,168.5705,0,0.0878,52.6165,1
AlwaysLong,367,168.7184,0,-0.0170,52.5995,1
AlwaysLong,368,168.6898,0,0.0242,52.6237,1
AlwaysLong,369,168.7306,0,-0.3898,52.2339,1
AlwaysLong,370,168.0728,0,0.0078,52.2417,1
AlwaysLong,371,168.0860,0,0.2328,52.4745,1
AlwaysLong,372,168.4773,0,0.6732,53.1477,1
AlwaysLong,373,169.6115,0,0.4033,53.5510,1
AlwaysLong,374,170.2955,0,0.9424,54.4935,1
AlwaysLong,375,171.9005,0,-0.4722,54.0213,1
AlwaysLong,376,171.0888,0,0.3160,54.3372,1
AlwaysLong,377,171.6294,0,-0.0219,54.3153,1
AlwaysLong,378,171.5917,0,0.9146,55.2300,1
AlwaysLong,379,173.1612,0,-0.5241,54.7059,1
AlwaysLong,380,172.2537,0,-0.5151,54.1908,1
AlwaysLong,381,171.3664,0,-0.3797,53.8111,1
AlwaysLong,382,170.7157,0,-1.0765,52.7346,1
AlwaysLong,383,168.8780,0,-0.2767,52.4579,1
AlwaysLong,384,168.4107,0,-0.3745,52.0834,1
AlwaysLong,385,167.7800,0,0.0766,52.1600,1
AlwaysLong,386,167.9085,0,0.1639,52.3239,1
AlwaysLong,387,168.1837,0,0.8853,53.2092,1
AlwaysLong,388,169.6726,0,0.3972,53.6063,1
AlwaysLong,389,170.3465,0,-0.3415,53.2649,1
AlwaysLong,390,169.7648,0,-0.4770,52.7879,1
AlwaysLong,391,168.9550,0,0.2030,52.9909,1
AlwaysLong,392,169.2980,0,-0.6639,52.3270,1
AlwaysLong,393,168.1741,0,0.8644,53.1914,1
AlwaysLong,394,169.6277,0,0.5066,53.6980,1
AlwaysLong,395,170.4871,0,-0.2948,53.4032,1
AlwaysLong,396,169.9846,0,-0.8663,52.5369,1
AlwaysLong,397,168.5120,0,0.6259,53.1628,1
AlwaysLong,398,169.5667,0,-0.1019,53.0609,1
AlwaysLong,399,169.3939,0,0.5418,53.6027,1
AlwaysLong,400,170.3116,0,-0.8185,52.7842,1
AlwaysLong,401,168.9177,0,-0.3127,52.4715,1
AlwaysLong,402,168.3895,0,-0.0107,52.4608,1
AlwaysLong,403,168.3714,0,0.0096,52.4704,1
